geohash,highway_busway,highway_living_street,highway_motorway,highway_motorway_link,highway_primary,highway_primary_link,highway_residential,highway_secondary,highway_secondary_link,highway_tertiary,highway_tertiary_link,highway_trunk,highway_trunk_link,highway_unclassified,oneway_False,oneway_True,bridge_no,bridge_yes,tunnel_building_passage,tunnel_no,tunnel_yes
dr5rev,0,0,2,7,20,0,53,5,0,0,0,42,1,1,16,115,131,0,0,131,0
dr5rey,0,0,0,0,3,0,35,19,1,6,0,4,0,0,4,64,68,0,0,68,0
dr5rez,0,0,0,0,0,0,62,7,0,0,0,7,0,0,6,70,76,0,0,76,0
dr5rf8,0,0,5,20,21,0,32,0,0,30,0,11,0,4,70,53,110,13,0,123,0
dr5rfb,0,0,0,0,0,0,29,18,0,38,0,0,0,3,56,32,88,0,0,88,0
dr5rfc,0,0,0,0,12,0,49,20,0,20,0,0,0,15,84,32,116,0,0,116,0
dr5rff,0,0,0,0,20,0,46,0,0,17,0,0,0,6,66,23,89,0,0,89,0
dr5rfk,0,0,0,4,0,0,0,2,0,14,1,0,0,5,20,6,20,6,2,24,0
dr5rfw,0,0,2,0,0,0,29,14,0,0,0,0,0,0,42,3,45,0,0,45,0
dr5rfx,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,0,10,0,0,10,0
dr5rfz,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,15,14,1,0,15,0
dr5rg0,0,0,0,0,0,0,49,17,0,24,0,0,0,1,44,47,91,0,0,91,0
dr5rg1,0,0,0,0,0,0,55,6,0,9,0,0,0,1,14,57,70,1,0,71,0
dr5rg2,0,0,0,0,0,0,37,15,0,34,0,0,0,4,22,68,90,0,0,90,0
dr5rg3,0,0,0,0,0,0,59,12,0,15,0,0,0,0,12,74,86,0,0,86,0
dr5rg4,0,0,0,0,0,0,29,44,0,25,0,0,0,4,74,28,102,0,0,102,0
dr5rg5,0,0,0,0,12,0,60,32,1,43,0,0,0,3,82,69,151,0,0,151,0
dr5rg6,0,0,0,0,0,0,41,24,0,43,0,0,0,1,34,75,109,0,0,109,0
dr5rg7,0,0,0,0,0,0,31,20,0,20,0,0,0,14,68,17,83,0,0,85,0
dr5rg9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,2,0
dr5rgb,0,0,0,0,1,0,40,18,0,0,0,3,4,0,12,54,66,0,0,66,0
dr5rgc,0,0,0,0,8,0,9,4,0,0,0,12,0,3,2,34,36,0,1,35,0
dr5rgd,0,0,0,0,0,0,24,0,0,8,0,0,0,1,24,9,33,0,0,33,0
dr5rgf,0,0,0,0,0,0,4,12,0,0,0,4,0,0,6,14,20,0,0,20,0
dr5rgh,0,0,0,0,26,0,64,12,0,35,0,0,0,0,80,57,137,0,0,137,0
dr5rgj,0,0,0,0,16,0,26,0,0,17,0,1,2,0,34,28,62,0,0,62,0
dr5rgk,0,0,0,1,0,0,37,50,3,45,0,0,0,2,86,52,138,0,0,136,2
dr5rgm,0,0,0,0,0,0,69,28,0,32,0,0,0,3,68,64,132,0,0,132,0
dr5rgn,0,0,4,10,1,1,21,8,0,0,0,12,1,0,32,26,56,2,0,58,0
dr5rgq,0,0,0,2,24,9,31,30,0,36,0,0,0,7,44,95,127,12,0,139,0
dr5rgr,0,0,0,0,18,0,55,20,0,1,0,0,0,0,76,18,94,0,0,94,0
dr5rgs,0,0,0,6,9,0,5,2,0,5,0,0,0,4,22,9,29,2,0,31,0
dr5rgt,0,0,6,5,16,1,37,19,1,5,0,0,0,0,58,32,83,7,2,88,0
dr5rgw,0,0,0,0,16,0,51,16,0,23,0,0,0,0,62,44,106,0,0,106,0
dr5rgx,0,0,0,0,0,0,51,14,0,39,0,0,0,5,46,63,109,0,0,109,0
dr5rgy,0,0,0,0,6,0,8,0,0,4,0,0,0,6,24,0,24,0,0,24,0
dr5rgz,0,0,0,0,22,0,22,2,0,0,0,0,0,13,46,13,59,0,0,59,0
dr5rh0,0,0,0,0,0,0,47,12,0,44,0,0,0,0,80,23,103,0,0,103,0
dr5rh1,0,0,0,0,0,0,57,8,0,34,0,0,0,0,78,21,99,0,0,99,0
dr5rh2,0,0,0,0,34,0,27,8,0,28,0,0,0,0,76,21,97,0,0,97,0
dr5rh3,0,0,0,0,10,0,28,0,0,34,0,0,0,0,54,18,72,0,0,72,0
dr5rh4,0,0,0,0,0,0,81,4,0,16,0,0,0,0,66,35,101,0,0,101,0
dr5rh5,0,0,0,0,0,0,66,28,0,16,0,0,0,0,90,20,104,6,0,110,0
dr5rh6,0,0,0,0,0,0,37,6,0,30,0,0,0,0,60,13,67,6,0,73,0
dr5rh8,0,0,0,0,22,0,57,13,0,0,0,0,0,0,74,18,90,2,0,92,0
dr5rh9,0,0,0,0,10,0,73,22,0,0,0,0,0,0,84,21,105,0,0,105,0
dr5rhb,0,0,0,0,28,0,40,4,0,18,0,0,0,0,70,20,90,0,0,90,0
dr5rhd,0,0,0,0,4,0,20,0,0,12,0,0,0,0,32,4,36,0,0,36,0
dr5rhe,0,0,0,0,12,0,74,6,0,10,0,0,0,0,74,28,100,2,0,102,0
dr5rhf,0,0,0,0,2,0,90,8,0,0,0,0,0,0,64,36,100,0,0,100,0
dr5rhg,0,0,0,0,4,0,73,6,0,0,0,0,0,0,66,17,83,0,0,83,0
dr5rhh,0,0,0,0,0,0,64,5,0,14,0,0,0,0,50,33,81,2,0,83,0
dr5rhj,0,0,0,0,0,0,71,16,0,14,0,0,0,0,70,31,101,0,0,101,0
dr5rhk,0,0,0,0,0,0,68,3,0,0,0,0,0,0,44,27,71,0,0,71,0
dr5rhm,0,0,0,0,0,0,44,9,0,0,0,0,0,0,18,35,53,0,0,53,0
dr5rhn,0,0,0,0,0,0,76,12,0,16,0,0,0,0,74,30,104,0,0,104,0
dr5rhp,0,0,0,0,0,0,54,6,0,2,0,0,0,0,48,14,60,2,0,62,0
