geohash_start,geohash_end,weight
dr5rvy,dr5ryp,2
dr5rvy,dr72jc,2
dr5rvz,dr5ryp,7
dr5rw1,dr5rw3,10
dr5rw1,dr5rw6,1
dr5rw2,dr5rw3,14
dr5rw3,dr5rw6,12
dr5rw3,dr5rwd,2
dr5rw6,dr5rw7,11
dr5rw6,dr5rwd,9
dr5rww,dr5rwx,18
dr5rww,dr5rxp,1
dr5rwx,dr5rwz,6
dr5rwx,dr5ry8,9
dr5rwz,dr5rxn,2
dr5rwz,dr5rxp,9
dr5rwz,dr5ryb,19
dr5rx3,dr5rx6,9
dr5rx3,dr5rx9,2
dr5rx3,dr5rxd,1
dr5rx4,dr5rx5,17
dr5rx4,dr5rx6,14
dr5rx4,dr5rx7,2
dr5rx5,dr5rx7,9
dr5rx6,dr5rx7,15
dr5rx6,dr5rxd,3
dr5rx6,dr5rxe,2
dr5rx7,dr5rxe,9
dr5rx7,dr5rxk,16
dr5rx9,dr5rxc,9
dr5rxc,dr5rxf,19
dr5rxc,dr5x81,10
dr5rxd,dr5rxe,17
dr5rxd,dr5rxf,2
dr5rxd,dr5rxg,2
dr5rxe,dr5rxg,10
dr5rxe,dr5rxk,1
dr5rxe,dr5rxs,18
dr5rxe,dr5rxu,2
dr5rxf,dr5rxg,7
dr5rxf,dr5x81,2
dr5rxf,dr5x84,9
dr5rxg,dr5rxu,13
dr5rxg,dr5x8h,6
dr5rxj,dr5rxm,14
dr5rxj,dr5rxn,14
dr5rxk,dr5rxm,10
dr5rxk,dr5rxs,9
dr5rxm,dr5rxn,1
dr5rxm,dr5rxq,14
dr5rxm,dr5rxs,2
dr5rxm,dr5rxt,11
dr5rxn,dr5rxp,10
